household_id,family_id,entitlement_source,home_state_code,home_state_name,home_district_code,home_division_name,home_block_name,created_at
fcc9b90f-b8f3-4714-b6b2-1c4248b037b9,UP022768040250,SECC,UP,Uttar Pradesh,Kushinagar,Gorakhpur,Kushinagar Block 7,2026-02-27T15:57:47+05:30
7da3c461-1dd8-48a1-816e-73b369f0eec3,UP580863193008,STATE_DB,UP,Uttar Pradesh,Bareilly,Bareilly,Richha,2026-02-27T15:57:47+05:30
9493b0e4-f629-4c82-9084-ad55c6102f1e,UP419026831067,RSBY,UP,Uttar Pradesh,Lucknow,Lucknow,Itaunja,2026-02-27T15:57:47+05:30
c2224401-1f62-45b3-983c-35d37c2cac64,UP348136760652,SECC,UP,Uttar Pradesh,Ambedkar Nagar,Ayodhya,Ambedkar Block 5,2026-02-27T15:57:47+05:30
27b08ebe-0095-45ef-8fa1-f7ce8d4b33d4,UP656872032298,SECC,UP,Uttar Pradesh,Shamli,Saharanpur,Shamli Block 8,2026-02-27T15:57:47+05:30
68a92525-4471-4f84-b4ea-dd123fab8da5,UP942252583295,SECC,UP,Uttar Pradesh,Saharanpur,Saharanpur,Saharanpur Block 1,2026-02-27T15:57:47+05:30
9128292a-46c9-4be0-b8f9-22a486fde2ee,UP116535425961,RSBY,UP,Uttar Pradesh,Ambedkar Nagar,Ayodhya,Ambedkar Block 5,2026-02-27T15:57:47+05:30
7f9ddd2c-91dd-469c-89e5-f342f7c9bcd4,UP321077975168,SECC,UP,Uttar Pradesh,Chandauli,Varanasi,Chandauli Block 4,2026-02-27T15:57:47+05:30
552002b2-0bf5-49fb-966a-1796fa466845,UP757503098830,RSBY,UP,Uttar Pradesh,Varanasi,Varanasi,Baragaon,2026-02-27T15:57:47+05:30
6ee8e291-05fe-4c32-9a5d-8ae546dc3fa2,UP407714528425,STATE_DB,UP,Uttar Pradesh,Kanpur Nagar,Kanpur,Kalyanpur,2026-02-27T15:57:47+05:30
25b2c677-ba1a-4805-bfb7-9cacc2230f1c,UP363842005507,SECC,UP,Uttar Pradesh,Pratapgarh,Prayagraj,Pratapgarh Block 2,2026-02-27T15:57:47+05:30
ae6c1444-17ea-435e-9dd0-f266e0b83337,UP802621954781,SECC,UP,Uttar Pradesh,Mahoba,Chitrakoot,Mahoba Block 7,2026-02-27T15:57:47+05:30
8ff02bec-41b8-414b-8ffa-1cf1a7ce32b3,UP480660781151,SECC,UP,Uttar Pradesh,Bulandshahr,Meerut,Bulandshahr Block 8,2026-02-27T15:57:47+05:30
3bf9f5d5-b5a9-40ea-ac0d-0312421277b1,UP948509899814,SECC,UP,Uttar Pradesh,Azamgarh,Azamgarh,Mirzapur,2026-02-27T15:57:47+05:30
24895dc0-5093-4e3c-9925-4bf31066cd17,UP103972677641,SECC,UP,Uttar Pradesh,Mahoba,Chitrakoot,Mahoba Block 1,2026-02-27T15:57:47+05:30
2b0cdeac-d9f6-4b26-b280-51d4a17db8b3,UP570558190156,SECC,UP,Uttar Pradesh,Gonda,Devipatan,Gonda Block 2,2026-02-27T15:57:47+05:30
69be11b5-8ba6-4155-b836-49451523f7a1,UP550065326321,STATE_DB,UP,Uttar Pradesh,Lalitpur,Jhansi,Lalitpur Block 8,2026-02-27T15:57:47+05:30
62a899a5-f35a-4d7d-986f-f044420132fd,UP704990229883,SECC,UP,Uttar Pradesh,Mathura,Agra,Naujheel,2026-02-27T15:57:47+05:30
16a07c34-2719-46a9-a816-f2d4c3081ac7,UP696082691115,SECC,UP,Uttar Pradesh,Fatehpur,Prayagraj,Fatehpur Block 4,2026-02-27T15:57:47+05:30
