hospital_bank_id,hospital_id,authorized_signatory_name,bank_account_name,account_number_token,ifsc_code,bank_name,branch_name,tds_exemption,cancelled_cheque_uri
77187c17-b0b8-4876-bb68-48f4c7c5bc8a,79212271-c452-4987-990b-2917f610086b,SUSHIL KUMAR BIND,Urban Community Health Centre Chandauli Block 1,ACCT_M243KD1OPL3QFVM3,BARB0S2TKLW,Punjab National Bank,Chandauli Main Branch,False,s3://up-ab-docs/CHQ_3GZVT5R0LL73.pdf
cab1babf-7380-46dd-af46-9830cb2d725d,784ebc03-77b5-47d2-b590-bd52a5bb47d0,ASHOK KUMAR,Urban Community Health Centre Rampur Block 1,ACCT_85FY9C9YZ0U9A7VB,MAHB028E86H,HDFC Bank,Rampur Main Branch,True,s3://up-ab-docs/CHQ_XH1UTHRVXKNA.pdf
85b9075d-384e-4589-894b-099bdd2489ea,1561406f-edb3-4119-8917-d1a9f26b1447,BRIJESH KUMAR,Dr. Sharma Multispeciality Hospital,ACCT_PRWCGTS3WUSY7Z79,BKID0QUPDDC,UP Gramin Bank,Chandauli Main Branch,False,s3://up-ab-docs/CHQ_PFU8TTPZLA0P.pdf
c381fa3f-3eb0-494f-af87-213a65de4b45,f9a0b9af-663b-4b2c-b4a9-a8a56b99a8dd,PAPPU YADAV SHUKLA,Zonal Hospital Basti,ACCT_KE1BLAS67LBSGVRN,UPCB00744CA,Axis Bank,Basti Main Branch,False,s3://up-ab-docs/CHQ_16SHU1VAWNYT.pdf
5febf287-382e-4b9d-aed7-3437bb5abfe9,18aab093-844f-4b2b-81f0-34c936832cd4,RAKESH KUMAR RAJBHAR,Zonal Hospital Deoria,ACCT_RUQ13HD7R5VNJCJ2,PUNB0PLR0M6,State Bank of India,Deoria Main Branch,True,s3://up-ab-docs/CHQ_TX7SDQYPIIM1.pdf
d0ce6ed4-5ed7-447b-92f4-06bbb8e1350e,6c68ced4-7801-48b9-9fd7-16063376ad14,RAVI SHANKAR,Trauma Centre Pratappur,ACCT_AKDSSQY6G8QTP85L,PUNB018V5ED,Bank of Baroda,Prayagraj Main Branch,False,s3://up-ab-docs/CHQ_JN7OP4B8WLCX.pdf
a24d326c-a6e2-4308-a160-df7382701593,bc446fea-52b0-42fa-8703-a4ee5a3a5a90,MUKESH KUMAR GUPTA,Primary Health Centre Bijauli,ACCT_6597IMNKAENCZDC9,UPCB029KTJZ,Allahabad Bank,Aligarh Main Branch,False,s3://up-ab-docs/CHQ_2A79FT999F3B.pdf
d3bec671-5e89-4fe5-8c0b-501a88ceecef,59a8efba-d5b6-4d65-a2f6-361f9965cae3,DEVENDRA KUMAR SINGH,Dr. Singh Nursing Home,ACCT_ZH110KICCV2VPYGF,ALLA0UZLF2Q,UP Gramin Bank,Auraiya Main Branch,False,s3://up-ab-docs/CHQ_WTVGWLG6TVDD.pdf
6dc365d6-c0a2-4396-9a98-14947341b50b,50f6ceec-8460-4167-8d6b-3b199d81525e,ANIL KUMAR,District Hospital Siddharthnagar,ACCT_TSSSA5U2DL7NITMZ,BARB0J9HDCO,HDFC Bank,Siddharthnagar Main Branch,False,s3://up-ab-docs/CHQ_ETYLK3O48NMB.pdf
a7e71781-0e77-456b-847e-716550e7e6dc,87b65ca7-bf10-41ed-8229-7524f6b3a30d,BABLU KUMAR,Sharma & Agarwal Heart Institute,ACCT_J3T76CBIM5N5CGGZ,HDFC0RU8KTN,Axis Bank,Raebareli Main Branch,False,s3://up-ab-docs/CHQ_NSJ5YA6X7S03.pdf
a9d98586-ec21-41c8-9e42-fa60cf8da04d,d31b4920-2059-47f5-83ab-ae5df3b24e6b,PREM SHANKAR,Women Hospital Ambedkar Nagar,ACCT_F1WFYHFV41YZK26C,BKID0NDN0J3,Allahabad Bank,Ambedkar Nagar Main Branch,False,s3://up-ab-docs/CHQ_Y173NAFA9BIY.pdf
b96aee72-90cd-401b-98be-5bcaf97d6ac6,2621e5d6-3fdd-4caa-b8a8-df10690bbe49,DEEPAK KUMAR VERMA,Krishna Heart Institute,ACCT_R0YKRKIXQM63LJRI,CNRB0QYF7WI,State Bank of India,Ambedkar Nagar Main Branch,False,s3://up-ab-docs/CHQ_9BNN7RHGXVFV.pdf
1b4835da-6f3e-4ac0-b2de-7d4b47ec363f,95f235be-b1f5-44dd-bd72-e4ff493eed15,AMIT KUMAR,Women Hospital Kaushambi,ACCT_DHFDD3YC9QYWCJDZ,UBIN0QCSTP0,Punjab National Bank,Kaushambi Main Branch,False,s3://up-ab-docs/CHQ_G0GJ3AYXDHKK.pdf
5ccc839b-3cc3-4bcc-8b8c-be413dd3d326,24267565-7dcb-4f3b-b6cd-1c0f075379c0,BRIJESH KUMAR RAJBHAR,Dr. Tiwari Cancer Institute,ACCT_AGWPUL8L1U171HMF,ALLA0VM5SAN,Union Bank of India,Varanasi Main Branch,False,s3://up-ab-docs/CHQ_PZ87V0FLYXS9.pdf
81f0e178-28d2-4757-91ec-ca9df295b402,c278f54d-0390-47b6-bda2-b51aec673c31,HARI OM,Dr. Mishra Children Hospital,ACCT_4KZYY4QSOVW4I50C,BKID0PIAQYH,Punjab National Bank,Aligarh Main Branch,False,s3://up-ab-docs/CHQ_N5QN87COKHEB.pdf
24fd250f-0d05-4f99-9300-b07b36780e12,e7843a89-5bc2-4ede-aeb9-fd6e59d9481b,VIVEK KUMAR RAJBHAR,Ram Maternity & General Hospital,ACCT_Z4RQTHHXXRY19XZ0,HDFC0154T69,Canara Bank,Chitrakoot Main Branch,True,s3://up-ab-docs/CHQ_E30EFRX3936E.pdf
71e4e1d2-b3a6-4cdb-9d2f-9af254416494,9878f087-5008-4e9a-91db-118ffc6d2f1e,JAGDISH PRASAD,Verma & Tiwari Maternity & General Hospital,ACCT_UPIX82VTSCUFPDBQ,UPCB0K6OXUR,UP Gramin Bank,Aligarh Main Branch,False,s3://up-ab-docs/CHQ_7A8C05QIP30L.pdf
f833f710-d742-4921-83d1-cae7d328b303,485db366-f036-4f19-ad67-c51b84a49903,SANJAY KUMAR,Zonal Hospital Bijnor,ACCT_9KURCD1GF336YDFW,ALLA0FMCD9V,Punjab National Bank,Bijnor Main Branch,False,s3://up-ab-docs/CHQ_MQ0GENYBKV16.pdf
9729d8a9-6792-4d2f-ba51-2edfeea535fa,973c72b6-a78b-45a8-b525-868353af84ea,DINESH KUMAR,Trauma Centre Basti Block 7,ACCT_D8P8N42HTCYD74K0,ALLA0LS13KG,State Bank of India,Basti Main Branch,False,s3://up-ab-docs/CHQ_DTQEQM2TF65S.pdf
b0cd3ee8-4d50-46d4-bf75-13a5340662d2,058fe129-afd7-4499-9973-cdcad110e8a3,RAJEEV KUMAR,Medical College Hospital Deoria,ACCT_11IR30YZC7YA6TQ6,MAHB0A2PDUB,Bank of Baroda,Deoria Main Branch,False,s3://up-ab-docs/CHQ_SGF5KYU222LL.pdf
180ca88b-e3b6-4b71-bccd-c7f8809ad264,7517a147-10ac-4547-a6e5-398e0aec8db6,VIJAY KUMAR,Ganesh Hospital & Research Centre,ACCT_3G22R6WJ8SB5UZ2H,CNRB0S4VC02,State Bank of India,Bulandshahr Main Branch,False,s3://up-ab-docs/CHQ_1HQWOZ8C4F3G.pdf
726df8e5-c0d9-421d-b991-89799f7d9f28,be9655cd-9695-463d-a93c-4ee77f4c34e6,RAMU KAKA,Trauma Centre Gosainganj,ACCT_MTBJ41PY5J6MEBJ5,MAHB0VYIRRN,UP Gramin Bank,Lucknow Main Branch,True,s3://up-ab-docs/CHQ_2RL83T3X8PPQ.pdf
671db05a-a6d0-4f31-9b3a-627324c45337,91f99c76-03d3-4e2a-82f0-e10b815f00b9,LAKHAN LAL,Agarwal & Mishra Orthopaedic Centre,ACCT_ZVG106NZVX42VG3X,MAHB0KKZCE4,Bank of India,Gorakhpur Main Branch,False,s3://up-ab-docs/CHQ_9NAVYLKAUG9T.pdf
fc7cb560-7e43-49af-914c-ca9016da8255,20439481-0474-4d67-b71e-4556ab11eec7,VIRENDRA SINGH,Medical College Hospital Etawah,ACCT_N4TP3X1Q64JQK5Z7,CNRB08YV5JG,Bank of Baroda,Etawah Main Branch,False,s3://up-ab-docs/CHQ_Z0KE53PJD5IU.pdf
d1db894e-4ac7-4694-b1be-31ced50f3b1b,f42e3415-07e8-4f42-8fde-494bab346766,MUKESH KUMAR,Medical College Hospital Badaun,ACCT_D3T35ZZ0Y8PO5PT8,UPCB0Y4I8R0,Punjab National Bank,Badaun Main Branch,False,s3://up-ab-docs/CHQ_UHA3PMY1NSU1.pdf
43c9bd05-076b-4ff3-a86d-fa86873b71d6,824bb4d8-1753-491b-b8c1-0e2edc738286,BRIJESH KUMAR KURMI,Mishra & Srivastava Medical Centre,ACCT_RXLZZ6EUKM8VX3EJ,CNRB0OUEAQ7,Punjab National Bank,Maharajganj Main Branch,False,s3://up-ab-docs/CHQ_LMWR2WCVXMKF.pdf
f4e79ba5-a181-4616-9625-1b52875b9cab,f9cf7cc9-66f4-4e4d-9eb2-c42e95a2cf4d,RAJEEV KUMAR,Combined Hospital Muzaffarnagar,ACCT_K7AL9K0JDBFGX8SD,BARB08Z3GHI,Bank of Baroda,Muzaffarnagar Main Branch,True,s3://up-ab-docs/CHQ_YQAHG982RLTE.pdf
f1a318a0-d314-4145-800f-260e13835303,a4af1771-116a-403f-976a-2598d16ab6d5,SURESH KUMAR,Saraswati Hospital & Research Centre,ACCT_CU8V73M7MU96I6YX,MAHB0IC00BX,Union Bank of India,Hathras Main Branch,False,s3://up-ab-docs/CHQ_0WETHXW6A92U.pdf
583703da-a07a-4f92-a18b-3183d6fd54a1,383efd30-cbe2-4006-a0d0-f5e8d18e4a7e,RAMESH CHANDRA,Verma & Pandey Cancer Institute,ACCT_IMIXI8QLHV3AY2TE,PUNB02NDMZD,Bank of India,Jaunpur Main Branch,True,s3://up-ab-docs/CHQ_S6C6KN0G7R0W.pdf
b8610997-9db4-45fa-a4f6-90056416fc4f,beab9dec-94ad-4cb1-95ca-dde775efb204,DEEPAK KUMAR DUBEY,Urban Community Health Centre Ballia Block 6,ACCT_K2E12PFUW7WCQ5W2,UBIN0T5TQI8,Bank of India,Ballia Main Branch,True,s3://up-ab-docs/CHQ_JL7EK7VFHOPY.pdf
