staff_id,hospital_id,name,registration_number,qualifications,phone,email,experience_years,role_type
60fbaeb5-a011-41c5-84a5-197c30f2f405,79212271-c452-4987-990b-2917f610086b,DR. PREM SHANKAR,REG_CVN8FT8K,MBBS MS,7095563544,,9.0,SURGEON
39e6d73a-3f87-4fa8-b464-1beb2bb6a248,79212271-c452-4987-990b-2917f610086b,DR. VIVEK KUMAR,REG_GX6SS5Y8,MBBS,9510820679,,6.5,ANAESTHETIST
d39a05c7-ce2f-48e3-910b-beef35f421eb,79212271-c452-4987-990b-2917f610086b,DR. ASHOK KUMAR CHAUHAN,REG_SS8NVHYX,MBBS,9562289056,,9.9,SURGEON
edaacdbc-4a2c-40da-970d-d01d7383a124,79212271-c452-4987-990b-2917f610086b,DR. PREM SHANKAR,REG_P0QPWRMH,MBBS,7512986306,,22.2,PRIMARY_CLINICIAN
9bff130e-9d83-481a-9dde-3e96125540ef,79212271-c452-4987-990b-2917f610086b,DR. BRIJESH KUMAR YADAV,REG_CUDH9QJM,MBBS,7576671844,,20.8,RADIOLOGIST
64467728-f5ff-4e7c-90ba-cffc8fad6a67,79212271-c452-4987-990b-2917f610086b,DR. BABLU KUMAR,REG_5YBH6VVA,MBBS,7845552108,,7.1,GYNAECOLOGIST
8634c09a-7901-434d-a76d-9be17ecc49a9,79212271-c452-4987-990b-2917f610086b,DR. MUKESH KUMAR GAUTAM,REG_DWOF0A65,MBBS MS,7705656256,,34.0,PRIMARY_CLINICIAN
e8c20c71-5915-4d35-b8ec-cb196f3d99ec,784ebc03-77b5-47d2-b590-bd52a5bb47d0,DR. PRADEEP KUMAR,REG_570AJQUL,MBBS DA,7688849276,,19.6,GYNAECOLOGIST
6c2c61e6-acb3-4fcc-86c0-0e3845129e75,784ebc03-77b5-47d2-b590-bd52a5bb47d0,DR. SHYAM LAL MAURYA,REG_HPR5YLL1,MBBS MS,7610044716,,29.1,GYNAECOLOGIST
3f3c7853-47aa-46e8-b722-db725aee7413,784ebc03-77b5-47d2-b590-bd52a5bb47d0,DR. SHIV KUMAR,REG_X8C42ND8,MBBS,8196848034,,20.1,PAEDIATRICIAN
508fd40a-5600-4ed8-bc57-d61add58c9a7,1561406f-edb3-4119-8917-d1a9f26b1447,DR. SHEELA DEVI,REG_IYXEHCE0,MBBS MD,9847522750,,30.7,PRIMARY_CLINICIAN
93e20668-795c-4691-8627-920d16664c7d,1561406f-edb3-4119-8917-d1a9f26b1447,DR. NIRMALA DEVI,REG_TVLZJ94M,MBBS MD DM,7085598459,,29.4,ANAESTHETIST
a4b71f18-34b3-494c-8d23-653f0904c957,1561406f-edb3-4119-8917-d1a9f26b1447,DR. SHYAM LAL,REG_X5N3DMWP,MBBS MS,7064279351,,13.3,PRIMARY_CLINICIAN
